Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo,Referee
17152,SJK,28.4.2017 20.00.00,Veikkausliiga,3-3,0,OmaSp Stadion,False,Away,Veikkausliiga 28.04.2017 20.00 SJK - HIFK 3-3     OmaSp Stadion,
17151,FC Lahti,24.4.2017 18.30.00,Veikkausliiga,1-2,2,Bolt Arena,True,Home,Veikkausliiga 24.04.2017 18.30 HIFK - FC Lahti 1-2     Bolt Arena,
17150,JJK,15.4.2017 16.00.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 15.04.2017 16.00 HIFK - JJK 0-0     Bolt Arena,
17149,PS Kemi,8.4.2017 16.00.00,Veikkausliiga,0-0,0,Sauvosaaren urheilupuisto,False,Away,Veikkausliiga 08.04.2017 16.00 PS Kemi - HIFK 0-0     Sauvosaaren urheilupuisto,
16127,RoPS,23.10.2016 15.00.00,Veikkausliiga,0-0,0,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 23.10.2016 15.00 RoPS - HIFK 0-0     Rovaniemen keskuskenttä,
16126,KuPS,17.10.2016 18.30.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 17.10.2016 18.30 HIFK - KuPS 0-2     Bolt Arena,
16125,Ilves,14.10.2016 18.30.00,Veikkausliiga,1-1,0,Tammelan Stadion,False,Away,Veikkausliiga 14.10.2016 18.30 Ilves - HIFK 1-1     Tammelan Stadion,
16124,HJK,30.9.2016 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 30.09.2016 18.30 HIFK - HJK 2-1     Bolt Arena,
16123,FC Lahti,26.9.2016 18.30.00,Veikkausliiga,0-0,0,Lahden kisapuisto,False,Away,Veikkausliiga 26.09.2016 18.30 FC Lahti - HIFK 0-0     Lahden kisapuisto,
16122,PK-35 Vantaa,20.9.2016 18.30.00,Veikkausliiga,0-2,1,Myyrmäen jalkapallostasion,False,Away,Veikkausliiga 20.09.2016 18.30 PK-35 Vantaa - HIFK 0-2     Myyrmäen jalkapallostasion,
16121,PS Kemi,16.9.2016 18.30.00,Veikkausliiga,3-1,1,Bolt Arena,True,Home,Veikkausliiga 16.09.2016 18.30 HIFK - PS Kemi 3-1     Bolt Arena,
16120,FC Inter,12.9.2016 18.30.00,Veikkausliiga,0-0,0,Veritas Stadion,False,Away,Veikkausliiga 12.09.2016 18.30 FC Inter - HIFK 0-0     Veritas Stadion,
16118,VPS,9.9.2016 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 09.09.2016 18.30 HIFK - VPS 0-1     Bolt Arena,
16119,SJK,27.8.2016 16.00.00,Veikkausliiga,3-1,1,Bolt Arena,True,Home,Veikkausliiga 27.08.2016 16.00 HIFK - SJK 3-1     Bolt Arena,
16114,IFK Mariehamn,21.8.2016 18.30.00,Veikkausliiga,1-0,2,Wiklöf Holding Arena,False,Away,Veikkausliiga 21.08.2016 18.30 IFK Mariehamn - HIFK 1-0     Wiklöf Holding Arena,
16113,Ilves,13.8.2016 16.00.00,Veikkausliiga,3-1,2,Tammelan Stadion,False,Away,Veikkausliiga 13.08.2016 16.00 Ilves - HIFK 3-1     Tammelan Stadion,
16112,HJK,10.8.2016 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 10.08.2016 18.30 HIFK - HJK 0-0     Bolt Arena,
16111,IFK Mariehamn,7.8.2016 18.30.00,Veikkausliiga,2-5,1,Wiklöf Holding Arena,False,Away,Veikkausliiga 07.08.2016 18.30 IFK Mariehamn - HIFK 2-5     Wiklöf Holding Arena,
16110,SJK,30.7.2016 16.00.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 30.07.2016 16.00 HIFK - SJK 1-1     Bolt Arena,
