Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,Referee,Attendance
16074,HJK,6.7.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,False,,10500
16073,IFK Mariehamn,28.6.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,,0
16072,VPS,25.6.2015 18.30.00,Veikkausliiga,0-2,1,Elisa Stadion,False,,0
16071,FC Inter,22.6.2015 18.30.00,Veikkausliiga,3-1,2,Veritas Stadion,False,,0
16070,RoPS,16.6.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,,0
16069,FF Jaro,7.6.2015 14.00.00,Veikkausliiga,0-0,0,Bolt Arena,True,,0
16068,FC Lahti,3.6.2015 18.30.00,Veikkausliiga,2-0,2,Lahden kisapuisto,False,,0
16067,KuPS,25.5.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,,0
16066,KTP,21.5.2015 18.30.00,Veikkausliiga,1-2,1,Arto Tolsa Areena,False,,0
16065,FF Jaro,17.5.2015 17.00.00,Veikkausliiga,3-2,1,Bolt Arena,True,,0
16064,Ilves,14.5.2015 14.00.00,Veikkausliiga,1-1,0,Tammelan Stadion,False,,0
16063,FC Inter,8.5.2015 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,,0
16062,SJK,3.5.2015 16.00.00,Veikkausliiga,2-0,2,OmaSp Stadion,False,,0
16061,RoPS,29.4.2015 18.30.00,Veikkausliiga,2-0,2,Rovaniemen keskuskenttä,False,,0
16060,HJK,23.4.2015 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,,10500
16059,IFK Mariehamn,19.4.2015 16.00.00,Veikkausliiga,1-1,0,Wiklöf Holding Arena,False,,0
