Id;FirstName;LastName;Number;YearOfAccession;ContractEndDate;BirthDate
16047;Pauli;Kuusijärvi;3;2014;31.12.2018;1986-03-21 00:00:00.000
16048;Tuomas;Mustonen;16;2014;31.12.2018;1985-06-04 00:00:00.000
16049;Daniel;Rantanen;7;8.heinä;31.12.2018;1998-05-11 00:00:00.000
16050;Tommi;Vesala;4;7.heinä;31.12.2018;1986-01-12 00:00:00.000
16051;Antti;Ulmanen;10;9.heinä;31.12.2018;1999-05-17 00:00:00.000
16052;Toivo;Xiong;26;12.heinä;14.8.2020;2000-05-18 00:00:00.000
16053;Remi;Dujardin;26;2020;12.3.2020;1997-06-23 00:00:00.000
17040;Eero-Matti;Auvinen;15;12.heinä;31.12.2020;1996-03-05 00:00:00.000
18040;John;Fagerström;20;2020;31.12.2020;1998-07-27 00:00:00.000
19040;Joonas;Salmi;29;2017;31.12.2018;1997-11-28 00:00:00.000
19041;Miika;Lindqvist;15;2018;31.12.2018;1998-10-29 00:00:00.000
19042;Reza;Heidari;26;2018;31.12.2018;1996-04-18 00:00:00.000
19043;Jonni;Myöhänen;32;10.heinä;31.12.2018;1999-01-01 00:00:00.000
19044;Axel;Anderson;71;10.heinä;31.12.2018;1999-03-16 00:00:00.000
19045;Joakim;Ärilä;21;2018;31.12.2018;1998-01-23 00:00:00.000
19046;Alexander;Albäck;30;2018;31.12.2018;2000-05-13 00:00:00.000
19047;Roope;Myöhänen;33;10.heinä;31.12.2018;2000-09-01 00:00:00.000
19048;Otto;Brusiin;71;10.heinä;31.12.2018;2000-07-13 00:00:00.000
19049;Jirijoonas;Kanth;19;3.heinä;31.12.2018;1987-06-16 00:00:00.000
19050;Pasi;Forsman;14;10.heinä;31.12.2018;1997-03-05 00:00:00.000
20040;Samu;Häkälä;33;10.heinä;31.12.2018;1999-08-12 00:00:00.000
20041;Arvi;Singa-Dembo;5;2018;31.12.2018;1996-11-08 00:00:00.000
21040;Juho;Mäkelä;10;2016;31.12.2017;1983-06-23 00:00:00.000
21041;Juho;Pirttijoki;15;8.heinä;3.2.2017;1996-07-30 00:00:00.000
21042;Aleksi;Ristola;19;8.heinä;31.12.2017;1989-11-06 00:00:00.000
21043;Mika;Väyrynen;23;2016;31.12.2017;1981-12-28 00:00:00.000
21044;Nnaemeka;Anyamele;27;7.heinä;31.12.2017;1994-05-16 00:00:00.000
21045;Abaas;Ismail;30;9.heinä;14.8.2017;1998-05-19 00:00:00.000
21046;Carljohan;Eriksson;71;7.heinä;31.12.2017;1995-04-25 00:00:00.000
21047;Kristian;Heinolainen;28;2017;31.12.2017;1999-05-11 00:00:00.000
21048;Eero;Hyökyvirta;21;9.heinä;31.12.2017;1999-03-17 00:00:00.000
21049;Nosh;A Lody;2;2017;31.12.2017;1989-07-17 00:00:00.000
21050;Kim;Raimi;15;9.heinä;31.12.2017;1985-02-25 00:00:00.000
21051;Fredrik;Lassas;22;7.heinä;31.12.2017;1996-10-01 00:00:00.000
21052;Jere;Piirainen;25;2016;31.12.2017;1998-04-10 00:00:00.000
21053;Tuomas;Aho;12;2015;31.12.2017;1981-05-17 00:00:00.000
21054;Mika;Johansson;1;6.heinä;31.12.2015;1984-03-13 00:00:00.000
21055;Youness;Rahimi;14;2015;31.12.2015;1995-02-13 00:00:00.000
21056;Ville;Taulo;21;2014;31.12.2016;1985-08-14 00:00:00.000
21057;Jesse;Ahonen;23;2015;31.12.2015;1992-06-22 00:00:00.000
21058;Jukka;Sinisalo;5;2015;31.12.2016;1982-05-21 00:00:00.000
21059;Joni;Korhonen;31;7.heinä;31.12.2016;1987-02-08 00:00:00.000
21060;Ville;Salmikivi;26;7.heinä;31.12.2016;1992-05-20 00:00:00.000
21061;Eero;Peltonen;11;2014;31.12.2016;1986-12-22 00:00:00.000
21062;Jussi;Tolonen;35;2015;31.12.2016;1997-12-16 00:00:00.000
21063;Keaton;Isaksson;6;7.heinä;31.12.2015;1997-12-16 00:00:00.000
21064;Kastriot;Kastrati;99;7.heinä;31.12.2015;1993-02-10 00:00:00.000
21065;Sauli;Väisänen;15;2015;31.12.2015;1994-06-05 00:00:00.000
21066;Kalle;Sotka;7;5.heinä;31.12.2015;1991-10-04 00:00:00.000
22066;Rickson;Mansiamina;20;8.heinä;9.7.2016;2016-07-09 00:00:00.000
23066;Ville;Anttonen;72;8.heinä;29.7.2016;1979-02-07 00:00:00.000
24066;Mikael;Forssell;99;9.heinä;31.12.2017;1981-03-15 00:00:00.000
25066;Tomi;Mikkelsson;25;2017;31.12.2017;1997-02-12 00:00:00.000
25067;Casper;Olesen;50;10.heinä;5.9.2018;1996-05-10 00:00:00.000
25068;Tatu;Hämäläinen;31;2018;24.9.2018;1998-01-03 00:00:00.000
25069;Seung-hyun;Lim;27;2020;31.12.2020;2000-06-24 00:00:00.000
